地级市,年份,累计日照时数(小时)
滨州市,1971,332.65
滨州市,1972,352.66
滨州市,1973,346.02
滨州市,1974,294.74
滨州市,1975,357.93
滨州市,1976,249.98
滨州市,1977,340.69
滨州市,1978,354.77
滨州市,1979,369.4
滨州市,1980,382.39
滨州市,1981,357.98
滨州市,1982,335.78
滨州市,1983,377.33
滨州市,1984,351.99
滨州市,1985,354.28
滨州市,1986,356.22
滨州市,1987,373.29
滨州市,1988,283.19
滨州市,1989,348.37
滨州市,1990,306.89
滨州市,1991,314.85
滨州市,1992,314.87
滨州市,1993,292.75
滨州市,1994,350.31
滨州市,1995,268.3
滨州市,1996,260.81
滨州市,1997,377.12
滨州市,1998,285.51
滨州市,1999,309.87
滨州市,2000,344.25
滨州市,2001,319.13
滨州市,2002,384.92
滨州市,2003,262.82
滨州市,2004,261.33
滨州市,2005,262.13
滨州市,2006,277.41
滨州市,2007,274.13
滨州市,2008,240.17
滨州市,2009,257.36
滨州市,2010,265.13
滨州市,2011,225.87
滨州市,2012,253.02
滨州市,2013,298.08
滨州市,2014,330.21
滨州市,2015,264.14
滨州市,2016,239.04
滨州市,2017,271.58
滨州市,2018,295.48
滨州市,2019,258.9
滨州市,2020,288.13
潍坊市,1960,295.7
潍坊市,1961,332.53
潍坊市,1962,303.91
潍坊市,1963,318.25
潍坊市,1964,339.27
潍坊市,1965,310.9
潍坊市,1966,388.6
潍坊市,1967,344.71
潍坊市,1968,403.51
潍坊市,1969,360.71
潍坊市,1970,321.38
潍坊市,1971,341.25
潍坊市,1972,359.04
潍坊市,1973,358.33
潍坊市,1974,270.92
潍坊市,1975,305.67
潍坊市,1976,292.59
潍坊市,1977,335.94
潍坊市,1978,358.89
潍坊市,1979,370.77
潍坊市,1980,361.73
潍坊市,1981,361.33
潍坊市,1982,352.59
潍坊市,1983,381.19
潍坊市,1984,314.15
潍坊市,1985,339.4
潍坊市,1986,345.94
潍坊市,1987,333.99
潍坊市,1988,312.22
潍坊市,1989,320.39
潍坊市,1990,303.85
潍坊市,1991,326.41
潍坊市,1992,328.03
潍坊市,1993,248.34
潍坊市,1994,326.72
潍坊市,1995,258.8
潍坊市,1996,234.17
潍坊市,1997,360.56
潍坊市,1998,263.36
潍坊市,1999,299.84
潍坊市,2000,342.24
潍坊市,2001,282.85
潍坊市,2002,364.81
潍坊市,2003,238.99
潍坊市,2004,255.84
潍坊市,2005,292.01
潍坊市,2006,314.02
潍坊市,2007,236.9
潍坊市,2008,223.32
潍坊市,2009,294.09
潍坊市,2010,283.67
潍坊市,2011,208.95
潍坊市,2012,289.67
潍坊市,2013,291.36
潍坊市,2014,321.51
潍坊市,2015,289.65
潍坊市,2016,286.06
潍坊市,2017,260.45
潍坊市,2018,306.64
潍坊市,2019,227.46
潍坊市,2020,266.6
烟台市,1960,273.15
烟台市,1961,328.75
烟台市,1962,281.38
烟台市,1963,335.47
烟台市,1964,331.52
烟台市,1965,310.69
烟台市,1966,352.5
烟台市,1967,349.37
烟台市,1968,400.63
烟台市,1969,309.34
烟台市,1970,300.63
烟台市,1971,324.36
烟台市,1972,363.51
烟台市,1973,378.04
烟台市,1974,272.66
烟台市,1975,307.02
烟台市,1976,266.65
烟台市,1977,363.53
烟台市,1978,353.79
烟台市,1979,363.83
烟台市,1980,384.13
烟台市,1981,396.75
烟台市,1982,385.53
烟台市,1983,391.38
烟台市,1984,325.72
烟台市,1985,313.88
烟台市,1986,349.01
烟台市,1987,359.31
烟台市,1988,325.91
烟台市,1989,356.37
烟台市,1990,337.62
烟台市,1991,366.37
烟台市,1992,368.89
烟台市,1993,303.07
烟台市,1994,378.37
烟台市,1995,293.06
烟台市,1996,306.14
烟台市,1997,404.28
烟台市,1998,272.95
烟台市,1999,347.17
烟台市,2000,378.39
烟台市,2001,331.01
烟台市,2002,344.24
烟台市,2003,294.2
烟台市,2004,256.82
烟台市,2005,321.14
烟台市,2006,310.35
烟台市,2007,282.86
烟台市,2008,283.25
烟台市,2009,343.8
烟台市,2010,311.82
烟台市,2011,218.26
烟台市,2012,302.12
烟台市,2013,269.83
烟台市,2014,351.71
烟台市,2015,319.03
烟台市,2016,333.0
